date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:55	10425/10425	------	200	untouched ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:06:23%20GMT	http://www.vzhurudolu.cz/80/z-dobreho-kodera-spatnym-projektovym-vedoucim	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/80/z-dobreho-kodera-spatnym-projektovym-vedoucim.html	(from http://www.vzhurudolu.cz/archiv)
16:14:55	8931/8931	------	200	untouched ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:06:23%20GMT	http://www.vzhurudolu.cz/79/kartickove-trideni-bez-karticek	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/79/kartickove-trideni-bez-karticek.html	(from http://www.vzhurudolu.cz/archiv)
16:14:55	85673/85673	---M--	200	added ('OK')	image/jpeg	etag:%22c5412-14ea9-bb304380%22	http://www.vzhurudolu.cz/images/css-bread.jpg	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/images/css-bread.jpg	(from http://www.vzhurudolu.cz/archiv)
16:14:59	15357/15357	---M--	200	added ('OK')	image/png	etag:%2266409c-3bfd-e2b392c0%22	http://www.vzhurudolu.cz/images/21.png	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/images/21.png	(from http://www.vzhurudolu.cz/archiv)
16:14:59	6123/6123	------	200	untouched ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:06:24%20GMT	http://www.vzhurudolu.cz/78/madatidal-par-zakulisnich-informaci	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/78/madatidal-par-zakulisnich-informaci.html	(from http://www.vzhurudolu.cz/archiv)
16:15:00	31570/31570	---M--	200	added ('OK')	image/png	etag:%2266409b-7b52-d0c2ad80%22	http://www.vzhurudolu.cz/images/22.png	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/images/22.png	(from http://www.vzhurudolu.cz/archiv)
16:15:05	131495/131495	---M--	200	added ('OK')	image/jpeg	etag:%226741a1-201a7-41127b40%22	http://www.vzhurudolu.cz/images/23t.jpg	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/images/23t.jpg	(from http://www.vzhurudolu.cz/archiv)
16:15:05	10082/10082	------	200	untouched ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:06:24%20GMT	http://www.vzhurudolu.cz/77/pojdte-s-nami-otestovat-web20-aplikaci-madatidal	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/77/pojdte-s-nami-otestovat-web20-aplikaci-madatidal.html	(from http://www.vzhurudolu.cz/archiv)
16:15:06	47406/47406	---M--	200	added ('OK')	image/png	etag:%226640a8-b92e-fe7e4240%22	http://www.vzhurudolu.cz/images/20.png	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/images/20.png	(from http://www.vzhurudolu.cz/archiv)
16:15:06	7270/7270	---M--	200	added ('OK')	image/png	etag:%22455aaa-1c66-439bbd80%22	http://www.vzhurudolu.cz/images/19.png	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/images/19.png	(from http://www.vzhurudolu.cz/archiv)
16:15:07	16850/16850	------	200	untouched ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:06:24%20GMT	http://www.vzhurudolu.cz/76/jak-zacit-podnikat-na-webu-kdyz-jste-mladi-progresivni-a-chudi	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/76/jak-zacit-podnikat-na-webu-kdyz-jste-mladi-progresivni-a-chudi.html	(from http://www.vzhurudolu.cz/archiv)
16:15:07	51815/51815	------	200	untouched ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:06:24%20GMT	http://www.vzhurudolu.cz/74/drupal-redakcni-system-pro-geeky	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/74/drupal-redakcni-system-pro-geeky.html	(from http://www.vzhurudolu.cz/archiv)
16:15:09	48906/48906	---M--	200	added ('OK')	image/jpeg	etag:%226640a7-bf0a-ff449f80%22	http://www.vzhurudolu.cz/images/20t.jpg	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/images/20t.jpg	(from http://www.vzhurudolu.cz/archiv)
16:15:09	20378/20378	---M--	200	added ('OK')	image/png	etag:%2265c047-4f9a-f5b2f300%22	http://www.vzhurudolu.cz/images/18.png	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/images/18.png	(from http://www.vzhurudolu.cz/archiv)
16:15:09	7402/7402	------	200	untouched ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:06:25%20GMT	http://www.vzhurudolu.cz/73/web-20-aplikace-u-psychologa	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/73/web-20-aplikace-u-psychologa.html	(from http://www.vzhurudolu.cz/archiv)
16:15:10	26729/26729	------	200	untouched ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:06:25%20GMT	http://www.vzhurudolu.cz/72/ruby-on-rails-pochybnosti-opatrneho-vedouciho-projektu	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/72/ruby-on-rails-pochybnosti-opatrneho-vedouciho-projektu.html	(from http://www.vzhurudolu.cz/archiv)
16:15:10	7402/7402	------	200	untouched ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:06:25%20GMT	http://www.vzhurudolu.cz/71/webby-awards-2007-funkcni-design-a-navigace	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/71/webby-awards-2007-funkcni-design-a-navigace.html	(from http://www.vzhurudolu.cz/archiv)
16:15:12	21425/21425	---M--	200	added ('OK')	image/jpeg	etag:%221fc187-53b1-4658024d4fcc0%22	http://www.drupal.cz/files/create-page.jpg	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.drupal.cz/files/create-page.jpg	(from http://www.vzhurudolu.cz/archiv)
16:15:12	5355/5355	------	200	untouched ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:06:26%20GMT	http://www.vzhurudolu.cz/70/nabidka-prace-zajima-vas-web-20-a-umite-programovat	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/70/nabidka-prace-zajima-vas-web-20-a-umite-programovat.html	(from http://www.vzhurudolu.cz/archiv)
16:15:12	10864/10864	------	200	untouched ('OK')	text/html	date:Tue,%2011%20Aug%202009%2014:06:26%20GMT	http://www.vzhurudolu.cz/69/firemni-web-od-h1cz-na-zaver-lehce-skobrta	C:/machal/projects/vzhurudolu/www/archiv/2005-2008/Vzhùru%20Dolù%202005-2008/www.vzhurudolu.cz/69/firemni-web-od-h1cz-na-zaver-lehce-skobrta.html	(from http://www.vzhurudolu.cz/archiv)
